evt_block_time,supply_apy,variable_borrow_apy,stable_borrow_apy,liquidity_usd,liquidity_usdc,liquidity_weth,total_liquidity,Lido staking APR(instant),Lido staking APR(ma_7),CL APR,EL APR,avg_funding_rate_geo,weth_reserve,usdc_reserve,weth_price,usdc_price,trading_volume,eth_usd,steth_usd
2021-09-28,0.006095230417283963,0.2524973232562417,3.3156216540703016,187085703.67,62036737.37696801,43166.085534603226,-0.21807446423655302,0.055751930535659744,0.05612404561341116,5.575,0.0,0.026027,-1.0398072853276727,1.0642989404847818,2867.588715277777,2896.9262499999986,32393.74021681726,2896.596004876017,2867.18832352818
2021-09-29,0.006137648112606974,0.253762464977191,3.3172030812214883,185131966.14,93649544.05626099,31796.686435343057,-0.21816092388044364,0.05623294826266023,0.05608108776758614,5.623,0.0,0.027141,0.5614730962318984,-0.51947878878688,2842.830243055555,2877.1055208333314,42896.265674016635,2876.7912194576616,2842.481014273165
2021-09-30,0.013397792088933541,0.39572777950119403,3.494659724376492,371160066.74,73905992.99284,99662.71074721444,-0.19926116129542568,0.05618222597106315,0.055997865022669346,5.618,0.0,0.028261,0.021247668247483264,0.024195856756865503,2952.0021874999998,2982.6007291666674,40054.619789893506,2982.446366442202,2951.6045046190566
2021-10-01,0.014170477575813486,0.4191412754656076,3.5239265943320093,202056682.09,98094990.39222597,32864.216961194965,-0.19974349994172982,0.05591782728566663,0.05608778568811283,5.592,0.0,0.029456,0.013014910402985408,0.019088106017487033,3136.5871180555537,3163.370416666667,34277.29193062484,3160.9610917093623,3134.1768610892386
2021-10-02,0.014568397658059565,0.4212041376549714,3.5265051720687137,23551451.48,10167240.619664995,4012.556285854694,-0.1994056592908143,0.05605818671978691,0.05609640491386707,5.606,0.0,0.030608,0.301244986006667,-0.25471762640230683,3300.178125000004,3335.5820833333296,48759.523165681756,3335.021672762266,3299.7025947545008
2021-10-03,0.006680805379397977,0.26131702831268533,3.326646285390856,15793056.72,7785594.33461,2356.097851236894,-0.2006637428692294,0.055725174397820876,0.056004412665509484,5.573,0.0,0.03178,-0.28051454002154214,0.2836691679275877,3365.9842361111123,3398.6119791666665,7955.043763413785,3398.549245443237,3365.8293606483376
2021-10-04,0.006994808331839681,0.2631891308663151,3.3289864135828937,15041516.19,7586619.19888,2219.22612583083,-0.20049824512086878,0.055707594724959675,0.055939412556802494,5.571,0.0,0.033002,0.8797067421913312,-0.8488278946654734,3309.3374305555576,3359.232708333333,2882.7723668127983,3359.1136084074396,3309.1499571137033
2021-10-05,0.006647386874640488,0.26304357819213836,3.3288044727401727,23682370.8,10984617.867552001,3715.5889618360407,-0.1995737056124854,0.05471721324379142,0.055791595800821284,5.472,0.0,0.034261,-0.6702754919013714,0.6690599736856861,3341.097291666667,3417.426701388889,11111.95303459767,3416.983919148642,3340.053403436955
2021-10-06,0.006529906391668387,0.26009915122143396,3.3251239390267924,25805083.47,11041603.761989994,4213.384795518254,-0.20152716914493168,0.05427798784422211,0.05551231574104439,5.428,0.0,0.035594,0.3745676295677971,-0.2736695463161216,3440.774756944447,3503.947638888889,98355.58991867247,3502.9674782546194,3439.5022254530713
2021-10-07,0.007080172017938592,0.2715423175506752,3.3394278969383437,13971335.41,6817670.265287001,2000.3555729933892,-0.20148161706048412,0.055177916863268894,0.05536884301135951,5.518,0.0,0.037116,-0.19826838684444237,0.2128825831359461,3511.707222222223,3576.1967708333336,14591.616381378506,3576.0508526584094,3511.1059381923637
2021-10-08,0.007786444940120373,0.28634385272734547,3.3579298159091815,27288589.21,13073961.402473003,3944.6311962400346,-0.20279789358891942,0.05594159491082773,0.05537223838638252,5.594,0.0,0.038734,0.38593937429793573,-0.34867421870695786,3555.814583333333,3603.5378472222214,23848.78437867014,3603.4519133591402,3555.367141425996
2021-10-09,0.00461648938051894,0.21012579137048618,3.2626572392131075,14473946.94,8118669.941098998,1770.0066224095174,-0.20346043205446618,0.05607198363349819,0.05537420937405555,5.607,0.0,0.040261,-0.568478055644786,0.5782989452128933,3552.5521874999977,3590.5385416666672,18513.352404767345,3590.502040543449,3551.985723522207
2021-10-10,0.00463309242244526,0.21159811598289757,3.2644976449786216,15098995.05,7373548.473949,2183.1321994170135,-0.20299330188805392,0.05581056850413679,0.0553864085321007,5.581,0.0,0.041825,4.2307017208768105,3.822941251636341,3513.804374999998,3538.6984722222214,3539.590451639564,3538.501773741074,3513.320951245036
2021-10-11,0.004699625928176657,0.2138764063983066,3.267345507997883,67029197.36,47528604.24540198,5514.232237488201,-0.20317659505757804,0.05417741702216583,0.0551678117174159,5.418,0.0,0.043544,-3.8845408096495544,-4.1520833701072535,3472.2521875,3536.411284722219,676.4179180605119,3536.091078117712,3471.920729447342
2021-10-12,0.004405586169879045,0.21221516538398003,3.265268956729975,61000949.82,20870514.448677,11511.094406784521,-0.20366791272337523,0.055574456007436046,0.05529027496936514,5.557,0.0,0.045215,-0.3806622257071388,0.4159208462117405,3441.7417361111115,3486.239791666664,40331.77937542636,3486.166578283912,3441.5851819314344
2021-10-13,0.004381850180894323,0.2114802726424817,3.264350340803102,100888734.14,51063489.01623099,14259.260043849636,-0.2070600224520542,0.05330779242504202,0.05515167562376798,5.331,0.0,0.04679,0.10011089325127744,-0.08445130233456384,3477.2971527777704,3494.2377777777747,8822.132754829196,3493.9662549604923,3477.0342123719583
2021-10-14,0.004367708993856182,0.21198119692533057,3.2649764961566627,219182856.21,100426151.927388,32144.71231760143,-0.20731926004851012,0.05157751633669072,0.05463733269139965,5.158,0.0,0.048228,0.7958174296558946,-0.7543892538758902,3682.7420833333335,3694.4397916666644,16379.24032139537,3693.7991317967944,3682.0345204427827
2021-10-15,0.003981164066947357,0.200766415267311,3.2509580190841385,245144953.24,43333780.62874601,53214.911273555794,-0.20767675699633434,0.05451150834028984,0.05443303460989424,5.451,0.0,0.049463,-0.5005848314807217,0.5022040953965904,3793.974722222223,3792.3801388888905,12947.214702474721,3791.7872409658025,3793.7797268336767
2021-10-16,0.003918591902367705,0.1985658508853532,3.248207313606691,182112546.12,71510488.97537601,28574.46668894527,-0.2064650033118311,0.05502043860495398,0.05428281389153077,5.502,0.0,0.050616,0.16751653944172953,-0.1406933825771612,3847.064756944443,3870.6604166666675,19830.195469742797,3870.454594430328,3846.88226013854
2021-10-17,0.0038624954641236138,0.19656274036954477,3.245703425461931,135158060.73,65011527.335019976,18273.529445220243,-0.20690839863240765,0.050746827045456966,0.053559422254576494,5.075,0.0,0.051769,-0.4201505180221782,0.4264026917881642,3813.4378472222265,3838.6964930555546,19538.16409690194,3838.4277346233894,3813.149460482769
2021-10-18,0.004004137790432873,0.2009695813768358,3.251211976721044,139259437.11,15356419.599312004,32677.103065168987,-0.2066601979519059,0.04647058318331676,0.05245844599188377,4.647,0.0,0.053129,-0.37907612283861986,0.38848229346619495,3772.0577430555527,3791.7381250000003,6874.6296861209275,3791.3633418167174,3771.628098869737
2021-10-19,0.004172788260769231,0.2067665324527358,3.2584581655659197,173749495.55,88632555.64860697,22374.68090194821,-0.20690360342674338,0.05402774347156125,0.05223748705818736,5.403,0.0,0.054928,-0.4254386589362273,0.4423725016171186,3778.0051736111104,3804.163298611114,17076.84196497148,3804.102930308461,3777.9347626140006
2021-10-20,0.003811713665825688,0.19609619696461672,3.2451202462057704,265470925.41,88660942.874808,44804.41534015486,-0.22224139927204734,0.054566982002303144,0.05241737128351038,5.457,0.0,0.056518,1.160244977903333,-1.1438094335198474,3932.8187152777778,3946.262465277777,4472.192038720908,3944.8526145970195,3931.096397464842
2021-10-21,0.003821599209317352,0.19657410848792511,3.245717635609906,401852817.0,166178223.41433004,56961.945730855616,-0.29182437575512504,0.054559785927135396,0.05284340979643106,5.456,0.0,0.058023,-0.43834639641159656,0.4449940239399978,4135.146770833331,4137.404201388887,9659.555917541324,4137.069077473944,4134.586779124047
2021-10-22,0.0042875644858392055,0.19818138804886473,3.2477267350610806,158980444.46,76587033.655489,20303.11926225865,-0.29090887998044196,0.05457603193036342,0.05285262745215587,5.458,0.0,0.060039,0.06260166550637261,-0.032885158894631936,4039.1222916666657,4058.1651388888886,42250.4451996007,4057.4167500600065,4038.4117237401038
